,game_id,season,game_type,week,gameday,weekday,gametime,gametime_hour,gametime_minute,away_team,away_score,home_team,home_score,location,result,total,overtime,pfr,espn,away_rest,home_rest,away_moneyline,home_moneyline,spread_line,away_spread_odds,home_spread_odds,total_line,under_odds,over_odds,div_game,roof,surface,temp,wind,away_qb_id,home_qb_id,referee,stadium_id,stadium,outdoor,grass,playoff,home_DVOA_Rank,home_DVOA,away_DVOA_Rank,away_DVOA,home_win,home_afterbye,away_afterbye,tie
1861,2017_18_CAR_NO,2017,WC,18,1/7/2018,Sunday,16:40,16,40,CAR,26,NO,31,Home,5,57,0,201801070nor,400999177,7,7,235,-265,6.5,-103,-107,47.5,-100,-110,1,dome,sportturf,70,0,00-0027939,00-0020531,Tony Corrente,NOR00,Mercedes-Benz Superdome,0,0,1,1,0.35,9,0.13,1,0,0,0
1862,2017_19_ATL_PHI,2017,DIV,19,1/13/2018,Saturday,16:35,16,35,ATL,10,PHI,15,Home,5,25,0,201801130phi,400999179,7,13,-133,120,-2.5,-107,-103,40,-110,-100,0,outdoors,grass,32,16,00-0026143,00-0029567,Bill Vinovich,PHI00,Lincoln Financial Field,1,1,1,5,0.24,14,0.05,1,0,0,0
1863,2017_19_TEN_NE,2017,DIV,19,1/13/2018,Saturday,20:15,20,15,TEN,14,NE,35,Home,21,49,0,201801130nwe,400999178,7,13,607,-790,13.5,-100,-110,48,-102,-108,0,outdoors,fieldturf,24,12,00-0032268,00-0019596,Ron Torbert,BOS00,Gillette Stadium,1,0,1,6,0.22,18,-0.06,1,0,0,0
1864,2017_19_JAX_PIT,2017,DIV,19,1/14/2018,Sunday,13:05,13,5,JAX,45,PIT,42,Home,-3,87,0,201801140pit,400999181,7,14,248,-280,7,-117,106,40.5,-107,-103,0,outdoors,grass,18,2,00-0031407,00-0022924,Brad Allen,PIT00,Heinz Field,1,1,1,4,0.26,8,0.14,0,0,0,0
1865,2017_19_NO_MIN,2017,DIV,19,1/14/2018,Sunday,16:40,16,40,NO,24,MIN,29,Home,5,53,0,201801140min,400999180,7,14,205,-230,5.5,-102,-108,47,-102,-108,0,dome,sportturf,70,0,00-0020531,00-0028986,Gene Steratore,MIN01,U.S. Bank Stadium,0,0,1,2,0.29,1,0.35,1,0,0,0
1866,2017_20_JAX_NE,2017,CON,20,1/21/2018,Sunday,15:05,15,5,JAX,20,NE,24,Home,4,44,0,201801210nwe,400999172,7,8,289,-330,7.5,-107,-103,46,102,-113,0,outdoors,fieldturf,48,3,00-0031407,00-0019596,Clete Blakeman,BOS00,Gillette Stadium,1,0,1,6,0.22,8,0.14,1,0,0,0
1867,2017_20_MIN_PHI,2017,CON,20,1/21/2018,Sunday,18:41,18,41,MIN,7,PHI,38,Home,31,45,0,201801210phi,400999174,7,8,-147,133,-3,104,-115,39,-106,-104,0,outdoors,grass,47,5,00-0028986,00-0029567,Ed Hochuli,PHI00,Lincoln Financial Field,1,1,1,5,0.24,2,0.29,1,0,0,0
1868,2017_21_PHI_NE,2017,SB,21,2/4/2018,Sunday,18:31,18,31,PHI,41,NE,33,Neutral,-8,74,0,201802040nwe,400999173,14,14,181,-202,4.5,-114,103,48.5,-105,-105,0,dome,sportturf,70,0,00-0029567,00-0019596,Gene Steratore,MIN01,U.S. Bank Stadium,0,0,1,6,0.22,5,0.24,0,0,0,0
1869,2018_01_ATL_PHI,2018,REG,1,9/6/2018,Thursday,20:20,20,20,ATL,12,PHI,18,Home,6,30,0,201809060phi,401030710,7,7,-104,-106,1,-111,101,44.5,-101,-109,0,outdoors,grass,81,8,00-0026143,00-0029567,John Hussey,PHI00,Lincoln Financial Field,1,1,0,15,-0.01,17,-0.02,1,0,0,0
1870,2018_01_BUF_BAL,2018,REG,1,9/9/2018,Sunday,13:00,13,0,BUF,3,BAL,47,Home,44,50,0,201809090rav,401030711,7,7,309,-355,7.5,-106,-104,39,109,-120,0,outdoors,grass,61,12,00-0033958,00-0026158,Shawn Hochuli,BAL00,M&T Bank Stadium,1,1,0,6,0.16,28,-0.19,1,0,0,0
