away_moneyline,home_moneyline,spread_line,home_spread_odds,total_line,temp,home_DVOA_Rank,home_DVOA,away_DVOA_Rank,away_DVOA,home_win
-224,200,-4.5,-103,48.0,74,30,-0.31,3,0.34,0
-135,122,-1.0,118,40.5,70,24,-0.14,1,0.38,1
228,-256,6.0,-111,46.5,72,5,0.26,4,0.3,0
-161,145,-3.0,-102,45.5,83,20,-0.07,14,0.04,1
140,-155,2.5,-117,45.5,85,2,0.36,19,-0.02,1
281,-320,7.0,-106,42.5,74,10,0.09,13,0.04,1
103,-114,1.0,-107,47.5,67,29,-0.3,22,-0.11,0
205,-230,5.0,-106,50.5,60,5,0.26,6,0.2,1
147,-163,3.0,-110,45.0,66,23,-0.12,32,-0.44,1
-152,137,-3.0,-108,53.0,71,14,0.04,18,-0.01,1
272,-309,7.0,-104,39.5,76,13,0.04,25,-0.15,1
-141,128,-3.0,-119,45.5,70,26,-0.16,12,0.07,1
-275,244,-6.5,-115,40.0,83,31,-0.35,9,0.1,0
-125,113,-1.0,108,41.0,80,21,-0.08,29,-0.3,1
534,-650,13.0,-104,47.0,64,3,0.34,24,-0.14,0
314,-360,9.0,111,43.5,73,8,0.12,20,-0.07,1
144,-160,3.0,-107,46.5,72,28,-0.25,10,0.09,1
-160,144,-3.0,-103,43.0,68,1,0.38,17,0.02,1
-190,171,-3.5,-103,42.5,70,15,0.04,11,0.09,1
188,-210,4.5,-104,43.0,71,19,-0.02,27,-0.19,1
217,-243,6.5,103,43.5,85,22,-0.11,30,-0.31,1
239,-270,7.0,108,46.0,62,4,0.3,16,0.03,1
142,-157,3.0,-108,50.0,70,7,0.12,2,0.36,1
140,-155,2.5,-124,49.0,75,14,0.04,8,0.12,0
264,-300,7.0,104,41.5,56,6,0.2,15,0.04,1
-140,127,-2.5,106,45.0,53,25,-0.15,23,-0.12,0
301,-345,7.0,-110,45.5,70,17,0.02,20,-0.07,1
156,-173,3.0,-116,41.5,70,26,-0.16,31,-0.35,0
-143,129,-2.5,105,40.5,83,21,-0.08,27,-0.19,0
-285,252,-6.5,100,42.5,70,12,0.07,4,0.3,1
324,-373,9.0,104,51.5,70,18,-0.01,32,-0.44,0
-195,175,-3.5,100,47.0,68,30,-0.31,16,0.03,1
168,-187,3.0,-125,49.5,65,11,0.09,13,0.04,0
-177,159,-3.0,115,42.5,70,24,-0.14,28,-0.25,1
145,-161,3.0,-107,47.0,82,22,-0.11,7,0.12,0
-116,105,-1.0,103,43.5,84,2,0.36,9,0.1,0
-200,180,-3.5,-102,45.5,69,29,-0.3,19,-0.02,1
137,-152,2.5,-122,48.5,67,10,0.09,3,0.34,1
-172,155,-3.0,106,45.5,67,1,0.38,5,0.26,1
468,-560,11.5,102,44.0,77,10,0.09,25,-0.15,1
269,-305,7.0,102,48.0,70,7,0.12,14,0.04,1
-195,175,-3.5,-104,48.0,58,23,-0.12,3,0.34,0
171,-190,3.5,100,48.0,70,16,0.03,12,0.07,0
569,-700,13.0,100,44.5,70,9,0.1,30,-0.31,1
-130,118,-2.5,-101,43.0,67,32,-0.44,22,-0.11,0
-190,171,-3.5,-103,40.5,67,27,-0.19,4,0.3,0
-130,118,-2.0,102,39.5,70,15,0.04,1,0.38,1
186,-208,4.0,-106,38.5,70,24,-0.14,21,-0.08,1
244,-275,6.5,-107,47.0,72,2,0.36,29,-0.3,1
109,-120,1.0,-114,45.5,86,31,-0.35,13,0.04,0
305,-350,7.5,102,54.0,64,5,0.26,18,-0.01,1
122,-135,1.5,-120,44.5,89,20,-0.07,11,0.09,0
106,-117,1.5,-106,46.0,63,28,-0.25,8,0.12,1
144,-160,3.0,-107,41.0,70,17,0.02,6,0.2,0
-113,102,-1.0,-103,37.5,70,15,0.04,24,-0.14,1
139,-154,3.0,100,45.0,49,13,0.04,21,-0.08,0
-260,231,-6.5,-103,49.5,70,26,-0.16,5,0.26,1
-260,231,-6.0,-103,46.5,47,32,-0.44,10,0.09,0
346,-400,7.5,-109,44.0,51,8,0.12,25,-0.15,1
175,-195,4.0,-106,44.0,48,19,-0.02,28,-0.25,1
-157,142,-3.0,-103,50.5,52,11,0.09,7,0.12,0
108,-119,1.0,-113,42.5,63,14,0.04,1,0.38,0
-245,218,-6.0,-107,38.5,88,31,-0.35,6,0.2,0
231,-260,6.0,-103,44.0,70,12,0.07,30,-0.31,1
239,-270,6.0,-110,50.5,54,3,0.34,2,0.36,1
393,-460,10.0,-102,45.5,62,4,0.3,23,-0.12,1
158,-175,3.5,-101,53.0,70,18,-0.01,22,-0.11,1
-410,354,-9.5,-104,40.5,52,27,-0.19,9,0.1,0
-240,214,-5.5,-103,42.5,64,30,-0.31,19,-0.02,1
385,-450,10.0,-102,49.0,70,7,0.12,29,-0.3,1
151,-167,3.0,-111,45.5,69,10,0.09,17,0.02,1
-118,107,-1.0,102,42.0,70,25,-0.15,13,0.04,1
201,-225,5.5,-101,38.0,84,21,-0.08,15,0.04,1
166,-185,3.5,104,43.5,65,27,-0.19,26,-0.16,1
167,-186,3.5,-105,47.5,66,28,-0.25,16,0.03,0
210,-235,5.0,-105,39.5,85,20,-0.07,32,-0.44,1
210,-235,5.0,-108,44.0,70,24,-0.14,23,-0.12,0
-188,169,-3.5,-106,42.5,63,1,0.38,3,0.34,1
275,-313,7.0,-113,46.5,61,4,0.3,8,0.12,0
-118,107,-1.5,-104,44.0,74,11,0.09,12,0.07,1
176,-196,4.0,-104,46.5,70,9,0.1,5,0.26,0
-101,-109,1.0,-103,47.5,78,22,-0.11,2,0.36,0
314,-360,7.5,100,37.5,80,4,0.3,1,0.38,1
188,-210,4.0,-106,47.0,55,23,-0.12,30,-0.31,0
-137,124,-2.5,105,45.0,62,14,0.04,17,0.02,0
227,-255,6.5,-104,47.0,70,9,0.1,10,0.09,1
103,-114,1.0,-107,46.5,70,26,-0.16,25,-0.15,1
256,-290,7.0,105,38.5,70,12,0.07,24,-0.14,1
231,-260,6.5,-106,51.5,61,8,0.12,11,0.09,1
-215,193,-4.0,-101,45.0,70,15,0.04,5,0.26,0
-116,105,-1.0,100,49.5,77,20,-0.07,18,-0.01,0
523,-635,11.0,-110,47.5,62,3,0.34,27,-0.19,1
239,-270,6.0,-104,44.5,62,29,-0.3,31,-0.35,1
-113,102,-1.0,103,46.5,55,13,0.04,19,-0.02,0
235,-265,6.5,-104,45.5,63,6,0.2,16,0.03,1
210,-235,5.0,-104,43.0,70,12,0.07,20,-0.07,0
273,-310,7.0,102,41.5,49,6,0.2,14,0.04,1
-145,131,-2.5,108,40.5,44,25,-0.15,22,-0.11,1
133,-147,3.0,102,42.5,70,16,0.03,1,0.38,1
704,-900,15.0,-106,45.0,44,5,0.26,31,-0.35,1
100,-110,1.0,-104,38.5,60,27,-0.19,21,-0.08,0
127,-140,1.5,-126,43.5,58,28,-0.25,7,0.12,0
188,-210,4.5,-105,44.5,45,19,-0.02,11,0.09,1
-305,269,-7.5,-120,46.0,49,15,0.04,3,0.34,0
153,-170,3.5,104,46.5,52,30,-0.31,26,-0.16,0
105,-116,1.0,-110,41.5,50,32,-0.44,29,-0.3,0
-144,130,-1.5,120,47.5,70,17,0.02,8,0.12,0
231,-260,6.0,-101,55.0,59,2,0.36,18,-0.01,1
-325,285,-7.0,-105,37.5,70,24,-0.14,4,0.3,0
264,-300,7.5,105,41.0,63,22,-0.11,32,-0.44,1
-225,201,-5.0,-103,47.5,48,13,0.04,2,0.36,0
-176,159,-3.5,-114,44.0,39,25,-0.15,10,0.09,0
400,-470,10.5,-102,43.0,39,5,0.26,24,-0.14,1
431,-510,11.0,-102,47.5,70,9,0.1,23,-0.12,1
-130,118,-2.5,100,44.0,70,26,-0.16,21,-0.08,1
-245,218,-6.0,-104,44.0,81,31,-0.35,16,0.03,0
-215,193,-4.5,-103,44.0,50,30,-0.31,6,0.2,0
152,-168,3.0,-110,48.0,50,11,0.09,14,0.04,0
101,-111,1.0,-105,47.0,71,29,-0.3,20,-0.07,0
201,-225,4.5,-107,38.0,60,1,0.38,12,0.07,1
157,-174,3.5,100,48.0,44,8,0.12,19,-0.02,0
166,-185,4.0,106,47.0,70,7,0.12,17,0.02,1
122,-135,2.5,-109,52.0,70,18,-0.01,28,-0.25,1
-165,149,-3.0,-101,43.5,50,31,-0.35,26,-0.16,0
281,-320,9.5,120,48.0,61,10,0.09,29,-0.3,1
-186,167,-3.5,-107,46.5,71,14,0.04,2,0.36,0
-191,172,-3.5,-104,47.0,69,13,0.04,8,0.12,1
244,-275,6.5,-113,44.0,78,21,-0.08,30,-0.31,0
-171,154,-3.0,105,46.0,70,12,0.07,16,0.03,1
545,-665,13.5,-102,54.0,60,3,0.34,23,-0.12,1
-122,111,-1.0,106,54.0,70,18,-0.01,7,0.12,1
152,-168,3.0,-110,46.5,80,20,-0.07,22,-0.11,1
205,-229,5.0,-108,38.0,43,1,0.38,27,-0.19,1
-131,119,-1.0,115,44.0,63,28,-0.25,17,0.02,0
105,-116,1.0,-110,37.0,54,6,0.2,9,0.1,0
505,-610,12.5,102,39.5,45,19,-0.02,32,-0.44,1
